Time,Input,2,Output
second,Volt,Volt,Volt
-2.60E-07,3.77E+00,1.46E-01,1.56E-01
-2.59E-07,3.84E+00,1.46E-01,1.56E-01
-2.58E-07,3.71E+00,1.46E-01,0.00E+00
-2.57E-07,3.59E+00,8.30E-02,1.56E-01
-2.55E-07,3.65E+00,8.30E-02,3.13E-01
-2.54E-07,3.59E+00,1.46E-01,4.69E-01
-2.53E-07,3.65E+00,8.30E-02,4.69E-01
-2.52E-07,3.59E+00,8.30E-02,3.13E-01
-2.50E-07,3.59E+00,8.30E-02,4.69E-01
-2.49E-07,3.52E+00,2.05E-02,4.69E-01
-2.48E-07,3.59E+00,-4.20E-02,4.69E-01
-2.47E-07,3.65E+00,2.05E-02,6.25E-01
-2.46E-07,3.65E+00,-4.20E-02,6.25E-01
-2.44E-07,3.65E+00,2.05E-02,6.25E-01
-2.43E-07,3.65E+00,2.05E-02,4.69E-01
-2.42E-07,3.71E+00,2.05E-02,4.69E-01
-2.41E-07,3.71E+00,8.30E-02,6.25E-01
-2.39E-07,3.71E+00,2.05E-02,4.69E-01
-2.38E-07,3.77E+00,2.05E-02,4.69E-01
-2.37E-07,3.77E+00,2.05E-02,3.13E-01
-2.36E-07,3.77E+00,8.30E-02,4.69E-01
-2.34E-07,3.71E+00,8.30E-02,3.13E-01
-2.33E-07,3.77E+00,2.05E-02,1.56E-01
-2.32E-07,3.84E+00,8.30E-02,1.56E-01
-2.31E-07,3.84E+00,8.30E-02,1.56E-01
-2.29E-07,3.84E+00,2.05E-02,1.56E-01
-2.28E-07,3.90E+00,2.05E-02,1.56E-01
-2.27E-07,3.90E+00,8.30E-02,0.00E+00
-2.26E-07,3.84E+00,2.05E-02,0.00E+00
-2.24E-07,3.90E+00,2.05E-02,0.00E+00
-2.23E-07,3.84E+00,8.30E-02,0.00E+00
-2.22E-07,3.84E+00,8.30E-02,0.00E+00
-2.21E-07,3.84E+00,8.30E-02,-1.56E-01
-2.19E-07,3.84E+00,1.46E-01,-1.56E-01
-2.18E-07,3.71E+00,1.46E-01,-1.56E-01
-2.17E-07,3.84E+00,1.46E-01,-1.56E-01
-2.16E-07,3.77E+00,8.30E-02,-3.13E-01
-2.15E-07,3.71E+00,1.46E-01,-1.56E-01
-2.13E-07,3.65E+00,8.30E-02,-1.56E-01
-2.12E-07,3.65E+00,8.30E-02,-3.13E-01
-2.11E-07,3.59E+00,2.05E-02,-3.13E-01
-2.10E-07,3.52E+00,8.30E-02,-3.13E-01
-2.08E-07,3.46E+00,2.05E-02,-4.69E-01
-2.07E-07,3.40E+00,2.05E-02,-3.13E-01
-2.06E-07,3.40E+00,2.05E-02,-3.13E-01
-2.05E-07,3.40E+00,2.05E-02,-3.13E-01
-2.03E-07,3.34E+00,8.30E-02,-3.13E-01
-2.02E-07,3.27E+00,8.30E-02,-4.69E-01
-2.01E-07,3.21E+00,8.30E-02,-4.69E-01
